MONTREUIL;;;;;;;;;;;;;;;;;;;;
;;;;;;XS;S;M;L;XL;XXL;Nombre de packs par couleur;;;;;;;;
Fournisseur;Marque;Nom;numéro du set de la bibliothèque;Type de prise;Nombre de prises dans le pack;;;;1;1;1;Jaune;Vert;Bleu;Rouge;Noir;Violet;Blanc;Quantité;total prises
SNAP;SNAP;Tears 6 XXL;snap_047;jugs;2;;;;;2;;1;1;1;;;;;3;6
SNAP;SNAP;Tubes 1;snap_048;jugs;3;;;;2;1;;2;1;;;;;;3;9
SNAP;SNAP;Tubes 2;snap_049;jugs;2;;;;2;;;1;1;;;;;;2;4
SNAP;SNAP;Tubes 3;snap_050;jugs;2;;;;2;;;1;1;;;;;;2;4
SNAP;SNAP;Tubes 4;snap_051;jugs;2;;;;2;;;1;1;;;;;;2;4
SNAP;SNAP;Tubes 5;snap_052;jugs;3;;1;2;;;;1;1;;;;;;2;6
SNAP;SNAP;Tubes 6;snap_053;pieds;5;;5;;;;;1;1;1;;;;;3;15
SNAP;SNAP;Tubes 7;snap_054;pieds;5;;5;;;;;1;1;1;;;;;3;15
SNAP;SNAP;Tubes 8;snap_055;pieds;5;5;;;;;;;;1;;;;;1;5
Expression;Squadra;Manta 10;squadra_001;crimps;10;;;10;;;;;;;1;;;;1;10
Expression;Squadra;Manta 9;squadra_002;crimps;5;;;;5;;;;;1;;;;;1;5
Expression;Squadra;Pure Pure Triangular 9;squadra_003;pi;10;;10;;;;;;;;;;1;;1;10
Jegrimpe;Teknik;Big Bullies Set 1;teknik_001;jugs;5;;;;;5;;1;;;;;;;1;5
Jegrimpe;Teknik;Big Curled Slopers set 1;teknik_002;slopers;5;;;;;5;;1;1;;;;;;2;10
Jegrimpe;Teknik;Clippers;teknik_003;jugs;10;;10;;;;;1;1;;;;;;2;20
Jegrimpe;Teknik;Fat Slopers 1;teknik_004;slopers;5;;;;;5;;;;;;1;;;1;5
Jegrimpe;Teknik;Half fat slopers;teknik_005;slopers;5;;;;5;;;;;;;1;;;1;5
Jegrimpe;Teknik;Hooded Fangs set1;teknik_006;jugs;5;;;;;5;;1;;;;;;;1;5
Jegrimpe;Teknik;No shadow hands set1;teknik_007;slopers;5;;;;5;;;;;;;;1;;1;5
Jegrimpe;Teknik;No shadow tip toes set1;teknik_008;pieds;20;20;;;;;;;;;;1;1;;2;40
Jegrimpe;Teknik;Overspikes;teknik_009;pieds;10;;;10;;;;;1;1;;;;;2;20
Jegrimpe;Teknik;Stylets;teknik_010;jugs;10;;;;;10;;;;1;1;;;;2;20
Volx;volx;Nif Nif;volx_001;pieds;10;;;10;;;;1;;;;;;;1;10
Volx;volx;Nouf Nouf;volx_002;jugs;5;;;;5;;;1;;;;;;;1;5
Volx;volx;power series positive jugs1;volx_003;jugs;5;;;;;5;;1;;;;;;;1;5
Volx;volx;power series positive jugs2;volx_004;jugs;5;;;;;5;;1;;;;;;;1;5
Volx;volx;Prises V Training Firebal XL;volx_005;pieds;4;;;;4;;;1;1;;;;;;2;8
Volx;volx;Prises V Training Fireball;volx_006;pieds;4;;;4;;;;1;1;;;;;;2;8
Volx;volx;Prises V Training slopers;volx_007;pieds;4;;4;;;;;1;1;;;;;;2;8
Volx;volx;pure blades;volx_008;pinches;5;;;3;2;;;;;1;1;1;1;;4;20
Volx;volx;pure blades 2 PE;volx_009;pinches;5;;;3;2;;;;;1;1;;1;;3;15
Volx;volx;pure eyelash;volx_010;slopers;1;;;;;1;;;;;1;;;;1;1
Volx;volx;pure frenchfin;volx_011;pinches;1;;;;;1;;1;1;1;1;1;1;;6;6
Volx;volx;pure frenchfin 2;volx_012;pinches;1;;;;;1;;1;1;1;1;1;1;;6;6
Volx;volx;Pure Quiproquo 2;volx_013;edges;2;;;;;2;;;;;;;1;;1;2
Volx;volx;Pure Simulator 1;volx_014;slopers;2;;;;2;;;;;;;;1;;1;2
Volx;volx;Pure Simulator 5;volx_015;slopers;2;;;;2;;;;;;;;1;;1;2
Volx;volx;V-Pure Simulator 2;volx_016;slopers;1;;;;1;;;;;;;;1;;1;1
Volx;volx;V-Pure Simulator 3;volx_017;slopers;1;;;;1;;;;;;;;1;;1;1
Volx;volx;V-Pure Simulator 4;volx_018;slopers;1;;;;1;;;;;;;;1;;1;1
Jegrimpe;Wataah;candice;wataah_001;edges;5;;;;;5;;;;;1;1;1;;3;15
Jegrimpe;Wataah;candice mini;wataah_002;edges;10;;10;;;;;;;;1;1;;;2;20
Jegrimpe;Wataah;candice XXL1;wataah_003;slopers;1;;;;;;1;;;;1;;;;1;1
Jegrimpe;Wataah;candice XXL2;wataah_004;slopers;1;;;;;;1;;;;1;;;;1;1
Jegrimpe;Wataah;candice XXL3;wataah_005;jugs;1;;;;;;1;;;;1;;;;1;1
